main_group,secondary_label,fun_labels
Technology & IT,Software Developer,Code Conjurer
Technology & IT,Web Developer,Web Wizard
Technology & IT,Mobile App Developer,App Alchemist
Technology & IT,DevOps Engineer,Cloud Commander
Technology & IT,Systems Administrator,Server Sage
Technology & IT,Cybersecurity Analyst,Hack Halter
Technology & IT,Data Scientist,Data Dynamo
Technology & IT,Machine Learning Engineer,AI Architect
Technology & IT,IT Support Specialist,Tech Troubleshooter
Technology & IT,Cloud Architect,Sky Sculptor
Creative & Design,Graphic Designer,Pixel Pixie
Creative & Design,UI/UX Designer,Interface Imp
Creative & Design,Illustrator,Sketch Sorcerer
Creative & Design,Video Editor,Frame Fiend
Creative & Design,Motion Graphics Designer,Motion Maestro
Creative & Design,3D Animator,Depth Dancer
Creative & Design,Photographer,Lens Luminary
Creative & Design,Art Director,Vision Vanguard
Creative & Design,Web Designer,Digital Decorator
Creative & Design,Game Designer,Playmaker
Writing & Content Creation,Copywriter,Word Weaver
Writing & Content Creation,Content Writer,Story Spinner
Writing & Content Creation,Technical Writer,Tech Teller
Writing & Content Creation,Journalist,News Nomad
Writing & Content Creation,Blogger,Blog Bard
Writing & Content Creation,Editor/Proofreader,Grammar Guru
Writing & Content Creation,Scriptwriter,Script Scribe
Writing & Content Creation,Social Media Content Creator,Post Prodigy
Writing & Content Creation,SEO Specialist,Search Sage
Writing & Content Creation,Author,Tale Titan
Marketing & Sales,Digital Marketer,Buzz Beast
Marketing & Sales,Social Media Manager,Trend Tamer
Marketing & Sales,Email Marketing Specialist,Inbox Instigator
Marketing & Sales,SEO Specialist,Rank Ranger
Marketing & Sales,PPC Manager,Click Captain
Marketing & Sales,Marketing Consultant,Strategy Star
Marketing & Sales,Sales Representative,Deal Driver
Marketing & Sales,Affiliate Marketer,Link Lord
Marketing & Sales,Brand Strategist,Brand Buccaneer
Marketing & Sales,Market Research Analyst,Insight Investigator
Business & Administration,Virtual Assistant,Task Titan
Business & Administration,Project Manager,Plan Paladin
Business & Administration,Operations Manager,Ops Oracle
Business & Administration,Customer Support Representative,Help Hero
Business & Administration,HR Consultant,People Protector
Business & Administration,Bookkeeper,Number Ninja
Business & Administration,Accountant,Ledger Legend
Business & Administration,Business Analyst,Data Detective
Business & Administration,Executive Assistant,Schedule Sorcerer
Business & Administration,Event Planner,Virtual Visionary
Education & Training,Online Tutor,Knowledge Knight
Education & Training,E-Learning Developer,Lesson Luminary
Education & Training,Instructional Designer,Course Crafter
Education & Training,Language Teacher,Tongue Tamer
Education & Training,Corporate Trainer,Skill Sensei
Education & Training,Life Coach,Goal Guru
Education & Training,Fitness Instructor,Move Maestro
Education & Training,Career Counselor,Pathfinder
Education & Training,Academic Researcher,Study Sage
Education & Training,Course Creator,Edu Enchanter
Consulting & Freelance Expertise,Management Consultant,Strategy Sorcerer
Consulting & Freelance Expertise,Financial Advisor,Money Mage
Consulting & Freelance Expertise,Legal Consultant,Law Luminary
Consulting & Freelance Expertise,Translation/Interpreter,Word Wanderer
Consulting & Freelance Expertise,Voice-Over Artist,Voice Virtuoso
Consulting & Freelance Expertise,Podcast Producer,Audio Ace
Consulting & Freelance Expertise,Sustainability Consultant,Green Guru
Consulting & Freelance Expertise,Health/Wellness Coach,Wellness Warrior
Consulting & Freelance Expertise,Startup Advisor,Venture Visionary
Consulting & Freelance Expertise,Grant Writer,Fund Finder
Media & Entertainment,Podcaster,Mic Maestro
Media & Entertainment,YouTuber/Streamer,Screen Star
Media & Entertainment,Music Producer,Beat Brewer
Media & Entertainment,Audio Engineer,Sound Sculptor
Media & Entertainment,Film Critic,Reel Reviewer
Media & Entertainment,Game Tester,Play Paladin
Media & Entertainment,Digital Artist,Pixel Poet
Media & Entertainment,Radio Host,Wave Wrangler
Media & Entertainment,Sound Designer,Echo Enchanter
Media & Entertainment,Virtual Event Host,Stream Sage
